0,0,0,0,0
359,26.4,-98.5,Hidalgo County,Texas
360,26.8,-00.0,Unspecified,Wilaya d'Adrar
361,27.4,-01.5,Unspecified,Adrar
362,28.0,-03.0,Unspecified,Béchar
364,33.0,-55.0,Unspecified,Ocean
366,26.4,-76.6,Unspecified,Ocean
367,27.2,-77.6,Unspecified,Ocean
368,28.0,-78.6,Unspecified,Ocean
369,28.8,-79.6,Unspecified,Ocean
370,29.6,-80.3,Unspecified,Ocean
371,30.4,-80.6,Unspecified,Ocean
372,31.1,-80.9,Unspecified,Ocean
373,31.6,-81.1,McIntosh County,Georgia
374,31.7,-81.1,Bryan County,Georgia
375,32.0,-81.3,Chatham County,Georgia
376,32.5,-81.5,Effingham County,Georgia
377,33.2,-81.5,Barnwell County,South Carolina
378,34.3,-80.5,Kershaw County,South Carolina
379,35.5,-78.1,Wayne County,North Carolina
380,36.8,-75.9,Unspecified,Virginia
381,37.8,-74.0,Unspecified,Ocean
382,38.4,-71.9,Unspecified,Ocean
383,38.8,-69.5,Unspecified,Ocean
384,39.0,-67.3,Unspecified,Ocean
385,39.4,-65.0,Unspecified,Ocean
386,39.5,-61.8,Unspecified,Ocean
387,39.8,-58.3,Unspecified,Ocean
388,40.0,-55.1,Unspecified,Ocean
389,40.0,-52.0,Unspecified,Ocean
390,40.2,-48.0,Unspecified,Ocean
392,28.2,-93.6,Unspecified,Ocean
393,28.4,-94.1,Unspecified,Ocean
394,28.6,-94.6,Unspecified,Ocean
395,28.8,-95.1,Unspecified,Ocean
396,28.9,-95.3,Brazoria County,Texas
397,29.0,-95.6,Brazoria County,Texas
398,29.2,-96.1,Wharton County,Texas
399,29.4,-96.5,Colorado County,Texas
400,29.7,-96.6,Colorado County,Texas
401,30.0,-96.4,Austin County,Texas
402,30.3,-96.0,Grimes County,Texas
404,25.0,-67.6,Unspecified,Ocean
405,25.8,-67.6,Unspecified,Ocean
406,26.7,-67.6,Unspecified,Ocean
407,27.6,-67.5,Unspecified,Ocean
408,28.6,-67.3,Unspecified,Ocean
409,29.5,-67.0,Unspecified,Ocean
410,30.3,-66.6,Unspecified,Ocean
411,31.5,-65.6,Unspecified,Ocean
412,32.4,-64.3,Unspecified,Ocean
413,33.0,-62.8,Unspecified,Ocean
414,33.5,-61.0,Unspecified,Ocean
415,34.2,-58.7,Unspecified,Ocean
417,22.2,-98.0,Pueblo Viejo,Veracruz
419,44.0,-42.0,Unspecified,Ocean
420,46.0,-39.0,Unspecified,Ocean
421,48.0,-36.0,Unspecified,Ocean
422,50.0,-32.5,Unspecified,Ocean
423,52.0,-29.0,Unspecified,Ocean
424,54.0,-24.0,Unspecified,Ocean
426,12.5,-83.0,Unspecified,Ocean
428,12.0,-55.9,Unspecified,Ocean
429,12.0,-57.1,Unspecified,Ocean
430,12.1,-58.3,Unspecified,Ocean
431,12.3,-59.5,Unspecified,Ocean
432,12.8,-60.7,Unspecified,Ocean
433,13.5,-61.9,Unspecified,Ocean
434,14.1,-62.8,Unspecified,Ocean
435,14.8,-63.7,Unspecified,Ocean
436,15.6,-64.4,Unspecified,Ocean
437,16.4,-65.4,Unspecified,Ocean
438,17.1,-66.5,Unspecified,Ocean
439,17.7,-67.9,Unspecified,Ocean
440,18.4,-69.5,Unspecified,Santo Domingo
441,19.2,-71.1,San Jose De Las Matas,Santiago
442,19.5,-72.3,Unspecified,Latibonit
443,19.7,-73.6,Unspecified,Ocean
445,26.7,-89.1,Unspecified,Ocean
446,27.1,-89.1,Unspecified,Ocean
447,27.5,-89.3,Unspecified,Ocean
448,28.1,-89.4,Unspecified,Ocean
449,28.8,-89.5,Unspecified,Ocean
450,29.2,-89.5,Plaquemines Parish,Louisiana
451,29.6,-89.5,Plaquemines Parish,Louisiana
452,30.2,-89.4,Hancock County,Mississippi
453,31.0,-89.1,Perry County,Mississippi
454,32.0,-88.8,Clarke County,Mississippi
455,33.0,-88.3,Pickens County,Alabama
457,25.0,-83.9,Unspecified,Ocean
458,25.7,-85.1,Unspecified,Ocean
459,26.3,-86.5,Unspecified,Ocean
460,27.0,-87.8,Unspecified,Ocean
461,27.7,-89.1,Unspecified,Ocean
462,28.2,-89.8,Unspecified,Ocean
463,28.7,-90.5,Unspecified,Ocean
464,29.2,-91.1,Terrebonne Parish,Louisiana
465,29.7,-91.6,St. Mary Parish,Louisiana
466,30.0,-91.8,Iberia Parish,Louisiana
467,30.3,-91.9,St. Martin Parish,Louisiana
468,30.6,-91.8,St. Landry Parish,Louisiana
469,30.9,-91.6,West Feliciana Parish,Louisiana
470,31.3,-91.0,Amite County,Mississippi
472,12.1,-56.1,Unspecified,Ocean
473,12.1,-57.3,Unspecified,Ocean
474,12.1,-58.5,Unspecified,Ocean
475,12.1,-60.1,Unspecified,Ocean
476,12.1,-61.8,Unspecified,Saint George
477,12.1,-63.2,Unspecified,Ocean
478,12.1,-64.5,Unspecified,Ocean
479,12.1,-65.6,Unspecified,Ocean
481,32.5,-75.5,Unspecified,Ocean
482,33.8,-76.0,Unspecified,Ocean
483,34.8,-76.4,Carteret County,North Carolina
484,35.0,-76.5,Carteret County,North Carolina
485,36.0,-76.3,Perquimans County,North Carolina
486,37.0,-76.0,Northampton County,Virginia
487,38.0,-75.3,Accomack County,Virginia
488,39.0,-74.3,Unspecified,Ocean
489,39.8,-73.0,Unspecified,Ocean
490,40.4,-71.5,Unspecified,Ocean
491,40.8,-69.5,Unspecified,Ocean
492,41.0,-67.0,Unspecified,Ocean
494,23.0,-82.5,Unspecified,Artemisa
496,21.0,-69.8,Unspecified,Ocean
497,21.0,-70.8,Unspecified,Ocean
498,21.1,-71.9,Unspecified,Ocean
499,21.2,-72.8,Unspecified,Ocean
500,21.6,-73.9,Unspecified,Ocean
501,21.7,-74.8,Unspecified,Ocean
502,22.0,-75.9,Unspecified,Ocean
503,22.2,-76.6,Unspecified,Ocean
504,22.4,-77.6,Unspecified,Ocean
505,22.6,-78.6,Unspecified,Ciego de Ávila
506,22.7,-79.5,Camajuaní,Villa Clara
507,22.7,-80.6,Los Arabos,Cienfuegos
508,22.9,-81.6,Limonar,Matanzas
509,23.0,-82.9,Mariel,Artemisa
510,23.2,-84.0,Unspecified,Ocean
511,23.6,-84.6,Unspecified,Ocean
512,23.9,-85.1,Unspecified,Ocean
513,24.2,-85.6,Unspecified,Ocean
514,24.7,-86.4,Unspecified,Ocean
515,24.9,-86.8,Unspecified,Ocean
516,25.2,-87.1,Unspecified,Ocean
517,25.6,-87.3,Unspecified,Ocean
518,26.2,-87.4,Unspecified,Ocean
519,27.5,-87.3,Unspecified,Ocean
520,28.9,-86.6,Unspecified,Ocean
521,30.2,-85.9,Bay County,Florida
522,31.1,-84.8,Miller County,Georgia
523,32.2,-83.3,Dodge County,Georgia
524,33.0,-81.6,Screven County,Georgia
525,34.0,-79.6,Florence County,South Carolina
526,34.7,-77.9,Pender County,North Carolina
527,35.5,-75.3,Unspecified,Ocean
528,36.3,-72.8,Unspecified,Ocean
529,36.8,-70.0,Unspecified,Ocean
530,37.2,-67.3,Unspecified,Ocean
531,37.7,-64.6,Unspecified,Ocean
532,38.2,-61.8,Unspecified,Ocean
533,38.8,-58.6,Unspecified,Ocean
534,39.0,-56.0,Unspecified,Ocean
535,39.5,-52.3,Unspecified,Ocean
537,32.0,-48.8,Unspecified,Ocean
538,32.5,-48.9,Unspecified,Ocean
539,32.9,-49.0,Unspecified,Ocean
540,33.5,-49.3,Unspecified,Ocean
541,34.5,-49.8,Unspecified,Ocean
542,35.2,-50.5,Unspecified,Ocean
543,35.6,-51.0,Unspecified,Ocean
544,35.8,-51.4,Unspecified,Ocean
545,36.0,-51.7,Unspecified,Ocean
546,36.1,-52.0,Unspecified,Ocean
547,36.2,-52.3,Unspecified,Ocean
548,36.3,-52.4,Unspecified,Ocean
